Id2,Geography,Id,Population Group,Estimate; SEX AND AGE - Total population,Margin of Error; SEX AND AGE - Total population,Estimate; SEX AND AGE - Total population - Male,Margin of Error; SEX AND AGE - Total population - Male,Estimate; SEX AND AGE - Total population - Female,Margin of Error; SEX AND AGE - Total population - Female,Estimate; SEX AND AGE - Under 5 years,Margin of Error; SEX AND AGE - Under 5 years,Estimate; SEX AND AGE - 5 to 17 years,Margin of Error; SEX AND AGE - 5 to 17 years,Estimate; SEX AND AGE - 18 to 24 years,Margin of Error; SEX AND AGE - 18 to 24 years,Estimate; SEX AND AGE - 25 to 34 years,Margin of Error; SEX AND AGE - 25 to 34 years,Estimate; SEX AND AGE - 35 to 44 years,Margin of Error; SEX AND AGE - 35 to 44 years,Estimate; SEX AND AGE - 45 to 54 years,Margin of Error; SEX AND AGE - 45 to 54 years,Estimate; SEX AND AGE - 55 to 64 years,Margin of Error; SEX AND AGE - 55 to 64 years,Estimate; SEX AND AGE - 65 to 74 years,Margin of Error; SEX AND AGE - 65 to 74 years,Estimate; SEX AND AGE - 75 years and over,Margin of Error; SEX AND AGE - 75 years and over,Estimate; SEX AND AGE - Median age (years),Margin of Error; SEX AND AGE - Median age (years),Estimate; SEX AND AGE - Under 18 years,Margin of Error; SEX AND AGE - Under 18 years,Estimate; SEX AND AGE - Under 18 years - Male,Margin of Error; SEX AND AGE - Under 18 years - Male,Estimate; SEX AND AGE - Under 18 years - Female,Margin of Error; SEX AND AGE - Under 18 years - Female,Estimate; SEX AND AGE - 18 years and over,Margin of Error; SEX AND AGE - 18 years and over,Estimate; SEX AND AGE - 18 years and over - Male,Margin of Error; SEX AND AGE - 18 years and over - Male,Estimate; SEX AND AGE - 18 years and over - Female,Margin of Error; SEX AND AGE - 18 years and over - Female,Estimate; SEX AND AGE - 18 to 34 years,Margin of Error; SEX AND AGE - 18 to 34 years,Estimate; SEX AND AGE - 18 to 34 years - Male,Margin of Error; SEX AND AGE - 18 to 34 years - Male,Estimate; SEX AND AGE - 18 to 34 years - Female,Margin of Error; SEX AND AGE - 18 to 34 years - Female,Estimate; SEX AND AGE - 35 to 64 years,Margin of Error; SEX AND AGE - 35 to 64 years,Estimate; SEX AND AGE - 35 to 64 years - Male,Margin of Error; SEX AND AGE - 35 to 64 years - Male,Estimate; SEX AND AGE - 35 to 64 years - Female,Margin of Error; SEX AND AGE - 35 to 64 years - Female,Estimate; SEX AND AGE - 65 years and over,Margin of Error; SEX AND AGE - 65 years and over,Estimate; SEX AND AGE - 65 years and over - Male,Margin of Error; SEX AND AGE - 65 years and over - Male,Estimate; SEX AND AGE - 65 years and over - Female,Margin of Error; SEX AND AGE - 65 years and over - Female,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than high school diploma,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than high school diploma,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency),Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency),Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college or associate's degree,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college or associate's degree,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree,Estimate; EDUCATIONAL ATTAINMENT - High school graduate or higher,Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate or higher,"Estimate; EDUCATIONAL ATTAINMENT - High school graduate or higher - Male, high school graduate or higher","Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate or higher - Male, high school graduate or higher","Estimate; EDUCATIONAL ATTAINMENT - High school graduate or higher - Female, high school graduate or higher","Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate or higher - Female, high school graduate or higher",Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher,Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher,"Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher - Male, bachelor's degree or higher","Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher - Male, bachelor's degree or higher","Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher - Female, bachelor's degree or higher","Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher - Female, bachelor's degree or higher",Estimate; FERTILITY - Women 15 to 50 years,Margin of Error; FERTILITY - Women 15 to 50 years,Estimate; INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Households,Margin of Error; INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Households,Estimate; INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Households - Median household income (dollars),Margin of Error; INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Households - Median household income (dollars)
34,New Jersey,4,Black or African American alone,1212054,10107,46.9,0.3,53.1,0.3,6.5,0.2,18.1,0.3,11,0.2,13.9,0.3,13.7,0.2,14.7,0.2,11.2,0.1,6.6,0.1,4.3,0.1,35.3,0.3,298439,5068,50.2,0.6,49.8,0.6,913615,7280,45.8,0.2,54.2,0.2,302677,5120,48.5,0.6,51.5,0.6,478941,4213,46,0.3,54,0.3,131997,1491,38.3,0.4,61.7,0.4,779757,6049,12.6,0.6,33.9,0.9,30.6,0.9,14.9,0.7,8,0.5,87.4,0.6,86.3,0.8,88.2,0.8,22.9,0.8,20.2,1.1,25.1,1,328970,3811,422523,6583,46342,1453
34,New Jersey,12,Asian alone (400-499),827493,4813,48.5,0.2,51.5,0.2,6.2,0.2,16.5,0.2,8,0.1,16.4,0.2,18.2,0.2,14.1,0.2,10.8,0.1,6.5,0.2,3.3,0.1,36.4,0.3,187989,2566,50.5,0.6,49.5,0.6,639504,3337,47.9,0.2,52.1,0.2,202006,2193,48.4,0.5,51.6,0.5,356573,2161,48.2,0.3,51.8,0.3,80925,1211,45.6,0.6,54.4,0.6,573504,3110,7.4,0.6,11.6,0.8,13.2,0.8,38.6,1,29.2,1,92.6,0.6,94.4,0.7,91,0.7,67.8,1.1,70.3,1.4,65.5,1.4,234241,2220,252544,3489,104045,4530
34,New Jersey,70,Some other race alone,621199,22403,51,0.8,49,0.8,8.6,0.7,19.8,0.7,10.9,0.6,18.2,0.7,17,0.7,13.3,0.6,7.1,0.4,3.4,0.4,1.7,0.3,30.7,0.5,176280,9505,51.1,1.7,48.9,1.7,444919,15327,51,1,49,1,180792,8419,54,1.8,46,1.8,232299,9329,49.7,1.2,50.3,1.2,31828,2608,42.7,3.8,57.3,3.8,377295,13248,31,1.5,34,1.5,21.8,1.3,9.8,1,3.4,0.6,69,1.5,68.3,2.1,69.8,1.6,13.2,1.1,12.1,1.5,14.3,1.4,175600,8271,178051,6755,44072,1865
35,New Mexico,2,White alone,1525459,15508,49.6,0.2,50.4,0.2,6,0.2,16.1,0.3,9.3,0.2,12.6,0.3,11.5,0.2,12.8,0.2,14.1,0.2,10.2,0.2,7.4,0.2,40.2,0.4,337045,7653,51.3,0.8,48.7,0.8,1188414,9480,49.1,0.2,50.9,0.2,334898,6467,52.1,0.7,47.9,0.7,585164,5215,48.9,0.3,51.1,0.3,268352,2469,45.8,0.3,54.2,0.3,1046429,8792,13.7,0.5,25.3,0.8,31.5,0.8,16.5,0.6,13,0.5,86.3,0.5,85.5,0.7,87.1,0.7,29.5,0.7,28.2,0.9,30.7,0.9,330352,4997,595094,7473,48048,1171
35,New Mexico,6,"American Indian and Alaska Native alone (300, A01-Z99)",198450,3810,49.8,0.7,50.2,0.7,7.3,0.5,21.8,0.6,11.7,0.5,14.6,0.5,12.9,0.5,12.8,0.6,10,0.6,5.5,0.4,3.4,0.3,30.9,0.6,57843,1750,52.5,1.4,47.5,1.4,140607,3163,48.8,0.8,51.2,0.8,52270,1416,50.9,1.2,49.1,1.2,70757,2026,48.6,1.2,51.4,1.2,17580,1057,43.1,2.6,56.9,2.6,117332,2987,22,1.5,33.7,1.7,33.4,2,7.4,1,3.5,0.7,78,1.5,77.6,2.3,78.5,1.8,10.9,1.2,9.7,1.7,12,1.9,51768,1499,53096,2699,31592,1827
35,New Mexico,70,Some other race alone,224820,14008,48.8,1.4,51.2,1.4,7.4,1.1,21.4,1.6,12.5,1.3,15.4,1.4,12.4,1.4,13.2,1.1,9.1,1,5.4,0.8,3.3,0.6,30.8,0.9,64811,6772,49.4,3.4,50.6,3.4,160009,9165,48.6,1.6,51.4,1.6,62725,5440,49.6,2.7,50.4,2.7,77924,5320,49.1,2.3,50.9,2.3,19360,2193,43.1,4.4,56.9,4.4,131929,7799,28.6,2.2,31.1,2.3,29.5,2.3,7.6,1.2,3.2,1,71.4,2.2,69.7,3.1,73,3.3,10.8,1.6,8.4,1.9,13.1,2.5,61775,4879,70130,4072,31712,1758
36,New York,2,White alone,12634312,30471,48.9,0.1,51.1,0.1,5.2,0.1,14.2,0.1,9.2,0.1,13.4,0.1,12,0.1,14.6,0.1,14,0.1,9.4,0.1,8,0.1,41.9,0.1,2452009,13154,51.1,0.2,48.9,0.2,10182303,21838,48.4,0.1,51.6,0.1,2851538,10936,50.4,0.2,49.6,0.2,5129960,13072,49.5,0.1,50.5,0.1,2200805,5430,43.2,0.1,56.8,0.1,9019568,17491,9.7,0.1,26.6,0.2,25.2,0.2,21.1,0.2,17.5,0.2,90.3,0.1,89.9,0.2,90.6,0.2,38.5,0.2,38.1,0.3,39,0.3,2928861,12297,5014859,16641,66399,416
36,New York,4,Black or African American alone,3093476,17224,46.3,0.2,53.7,0.2,6.6,0.1,17,0.2,11.5,0.1,14.7,0.2,12.7,0.1,14.3,0.1,11.6,0.1,6.9,0.1,4.8,0.1,35.2,0.2,728025,8714,50.6,0.5,49.4,0.5,2365451,12454,45,0.2,55,0.2,809492,8001,48.9,0.4,51.1,0.4,1192612,7078,44.8,0.3,55.2,0.3,363347,3310,37.2,0.3,62.8,0.3,2011027,10116,17.2,0.5,30.7,0.6,29.2,0.5,14.8,0.4,8.1,0.4,82.8,0.5,82.7,0.6,82.9,0.6,22.9,0.5,20.3,0.7,24.9,0.7,840409,7275,1077898,10491,40912,612
36,New York,6,"American Indian and Alaska Native alone (300, A01-Z99)",81512,6631,45.7,3,54.3,3,7.2,1.9,16,2.3,11.7,2.1,16.8,2.3,13.8,1.8,13.5,1.7,11.2,2,6.1,1.3,3.8,1,33.6,1.9,18956,3203,38.4,6.3,61.6,6.3,62556,4925,47.9,3.2,52.1,3.2,23209,2748,54.8,5.9,45.2,5.9,31314,3198,45.1,4.2,54.9,4.2,8033,1382,39.1,7.9,60.9,7.9,53035,3852,25.8,3.3,27.5,2.7,29.5,2.9,10.3,1.7,6.9,1.7,74.2,3.3,70,5,78.1,4.3,17.2,2.4,16.3,4.2,17.9,3.1,20929,2670,28264,2257,41775,5274
36,New York,12,Asian alone (400-499),1613255,8423,47.8,0.2,52.2,0.2,5.7,0.2,13.4,0.2,10.4,0.2,18.2,0.2,15.7,0.2,14.1,0.2,11.8,0.1,6.5,0.1,4.2,0.1,36.3,0.2,309567,4826,50.7,0.7,49.3,0.7,1303688,6225,47.1,0.2,52.9,0.2,461463,4273,47.7,0.4,52.3,0.4,669816,3780,47.1,0.2,52.9,0.2,172409,1600,45.1,0.5,54.9,0.5,1136311,5430,21.9,0.8,18.6,0.7,15.3,0.6,26.3,0.8,18,0.7,78.1,0.8,79.8,0.9,76.6,0.9,44.3,0.8,45.7,1.1,43,0.8,478912,4085,504011,6028,61480,1324
36,New York,70,Some other race alone,1746680,33590,49.7,0.5,50.3,0.5,8.3,0.3,18.9,0.4,12.3,0.3,17.9,0.4,15.4,0.4,12.5,0.4,8,0.3,4.1,0.2,2.6,0.2,30.7,0.2,475923,14974,52,0.9,48,0.9,1270757,23069,48.8,0.5,51.2,0.5,527075,11572,51.5,0.9,48.5,0.9,626613,13190,48.5,0.7,51.5,0.7,117069,6085,39,1.8,61,1.8,1055513,20227,37.3,1.1,28.3,1,21.1,0.8,9.5,0.6,3.8,0.4,62.7,1.1,62.2,1.5,63.2,1.3,13.3,0.7,11.4,0.9,15.1,0.9,495555,12605,515934,9513,35941,773
37,North Carolina,2,White alone,6869207,14005,49,0.1,51,0.1,5.3,0.1,15.3,0.1,9.2,0.1,12.3,0.1,13,0.1,14.2,0.1,13.5,0.1,10.1,0.1,7.1,0.1,41.4,0.2,1419309,8114,51.1,0.3,48.9,0.3,5449898,8235,48.5,0.1,51.5,0.1,1473921,5945,50.7,0.2,49.3,0.2,2794949,6167,49.2,0.1,50.8,0.1,1181028,1943,44.1,0.1,55.9,0.1,4819497,8041,11.4,0.3,25.9,0.3,31.4,0.4,20.4,0.3,11,0.2,88.6,0.3,87.1,0.4,90.1,0.3,31.4,0.4,31.1,0.5,31.6,0.4,1579837,5715,2734275,11841,51707,432
37,North Carolina,4,Black or African American alone,2154387,10354,46.8,0.2,53.2,0.2,6.2,0.2,18.9,0.2,11.8,0.2,13.2,0.3,13.5,0.2,13.5,0.2,11.9,0.1,6.8,0.1,4.2,0.1,35,0.2,541035,6799,51,0.7,49,0.7,1613352,6364,45.3,0.2,54.7,0.2,537362,6081,47.9,0.4,52.1,0.4,839229,4870,45.3,0.3,54.7,0.3,236761,1814,39.8,0.4,60.2,0.4,1359841,5810,15.7,0.5,31,0.7,33.7,0.7,13.1,0.5,6.5,0.4,84.3,0.5,81.8,0.8,86.3,0.6,19.6,0.6,16,0.8,22.5,0.8,581292,5255,806457,7395,33022,884
37,North Carolina,6,"American Indian and Alaska Native alone (300, A01-Z99)",111276,4198,49.5,1.7,50.5,1.7,6.4,0.8,19.2,1.4,10.1,1.2,13.3,1.4,14.4,1.2,13.1,1.1,11.7,0.9,8,0.9,3.8,0.6,35.8,1.8,28585,2178,55.9,3.4,44.1,3.4,82691,3008,47.3,1.8,52.7,1.8,26007,2040,50,3.4,50,3.4,43574,2260,46.3,2.6,53.7,2.6,13110,1216,45,4.3,55,4.3,71468,2764,25.7,2.4,30,2.5,31.8,2.5,8.8,1.6,3.7,1,74.3,2.4,70.3,3.8,77.9,2.7,12.5,1.7,9.5,2.2,15.2,2.3,28524,1868,39131,2223,33094,1975
37,North Carolina,12,Asian alone (400-499),246721,4309,48,0.7,52,0.7,6.6,0.6,17.7,0.8,11.1,0.8,19.4,1,18.5,0.9,12.5,0.9,8.4,0.6,3.8,0.4,2.1,0.4,33.1,0.5,59807,2698,49.5,2.5,50.5,2.5,186914,3166,47.5,0.7,52.5,0.7,75362,3126,48.9,1.4,51.1,1.4,97017,2357,47,1,53,1,14535,1250,43.6,3.7,56.4,3.7,159445,3187,14.9,2,16.5,1.7,15.3,1.4,27.8,1.8,25.4,2.1,85.1,2,87.9,2.3,82.5,2.3,53.3,2.6,57.8,3.5,49.2,3,76192,2011,76929,2609,69651,4276
37,North Carolina,70,Some other race alone,322251,15157,53,1.4,47,1.4,10.5,1,26.1,1.1,11.8,1.1,19.1,1.3,17.5,1.2,9.2,1.1,3.7,0.6,1.8,0.4,0.4,0.2,26,1.1,117984,8309,51.5,2.7,48.5,2.7,204267,8905,53.9,1.6,46.1,1.6,99613,6337,56.4,2.3,43.6,2.3,97653,5666,52.4,2.1,47.6,2.1,7001,1458,38.8,10,61.2,10,166127,7145,51.8,2.8,24.2,2.3,15,1.5,6.8,1.5,2.2,0.6,48.2,2.8,45.8,4,50.9,3.1,9,1.7,6.7,1.9,11.7,2.3,86803,4914,82878,4537,29978,1854
38,North Dakota,2,White alone,654375,2212,51.2,0.2,48.8,0.2,6.2,0.1,14.9,0.1,12.3,0.2,14.1,0.2,11.2,0.1,12.5,0.1,13.3,0.1,8,0.1,7.5,0.1,37.2,0.2,137913,908,51.5,0.6,48.5,0.6,516462,1698,51.1,0.1,48.9,0.1,172604,1162,53.9,0.3,46.1,0.3,242482,1004,51.6,0.2,48.4,0.2,101376,229,44.9,0.1,55.1,0.1,436061,1665,6.8,0.4,28.5,1,36.7,1.1,20.5,0.8,7.5,0.6,93.2,0.4,92.4,0.7,94,0.5,28,0.9,25.9,1.1,30.2,1.2,147562,1226,276848,3916,61675,1145
39,Ohio,2,White alone,9522264,7875,49.1,0.1,50.9,0.1,5.4,0.1,15.7,0.1,9,0.1,12.3,0.1,12.1,0.1,14.3,0.1,14.3,0.1,9.4,0.1,7.5,0.1,41.6,0.2,2008912,4033,51.3,0.1,48.7,0.1,7513352,5590,48.5,0.1,51.5,0.1,2027492,4579,50.6,0.1,49.4,0.1,3878458,3432,49.4,0.1,50.6,0.1,1607402,1588,43.6,0.1,56.4,0.1,6660481,5091,9.7,0.2,34.8,0.3,28.1,0.3,17.3,0.2,10.1,0.2,90.3,0.2,89.7,0.3,90.9,0.3,27.4,0.2,27.6,0.3,27.2,0.3,2148809,4811,3846130,13901,52600,415
39,Ohio,4,Black or African American alone,1419214,9642,47.7,0.3,52.3,0.3,7.3,0.2,19.5,0.3,11.8,0.2,13.3,0.3,12.7,0.2,12.8,0.2,11.8,0.1,6.2,0.1,4.7,0.1,33.6,0.3,380291,6645,50.9,0.7,49.1,0.7,1038923,5610,46.5,0.3,53.5,0.3,356288,4816,48.9,0.6,51.1,0.6,527864,3971,47,0.3,53,0.3,154771,1939,39.4,0.5,60.6,0.5,870892,4747,16,0.7,32.5,0.9,35.7,0.9,10,0.5,5.8,0.4,84,0.7,83,1.1,84.9,0.8,15.8,0.7,14.2,1.1,17.1,0.9,364952,4968,565976,6278,26747,727
39,Ohio,12,Asian alone (400-499),225438,5022,47.1,0.8,52.9,0.8,6,0.5,15.9,0.8,10.8,0.8,19.9,1,18.7,0.8,11.7,0.8,9,0.6,5.1,0.5,3,0.4,33.8,0.6,49244,2839,48.1,2.6,51.9,2.6,176194,3260,46.9,0.7,53.1,0.7,69213,2578,48.5,1.5,51.5,1.5,88659,2761,45.7,1.2,54.3,1.2,18322,1285,46.2,3.8,53.8,3.8,151851,2836,11.4,1.6,12.8,1.5,12.7,1.3,29.8,2,33.3,2.3,88.6,1.6,90,1.9,87.5,2,63.1,2.4,69.5,3.2,57.7,2.8,70419,2247,76576,2619,70377,4051
39,Ohio,70,Some other race alone,103388,7629,52.4,2.1,47.6,2.1,10,1.6,24.6,2.3,13.1,1.9,20,1.9,15.5,1.7,8.4,1.3,5.7,1,1.7,0.5,1,0.4,26.1,1.1,35791,4100,50.2,4.2,49.8,4.2,67597,4896,53.6,2.2,46.4,2.2,34232,3607,53.4,4,46.6,4,30569,2669,54.3,3.5,45.7,3.5,2796,684,48.4,10.7,51.6,10.7,54003,3876,33.1,3.6,24.8,3.3,27.1,3.2,9.4,1.9,5.5,1.6,66.9,3.6,62.9,4.8,71.9,3.9,15,2.3,12.4,2.7,18.2,3.7,27170,2742,28044,2699,35377,2831
40,Oklahoma,2,White alone,2827481,6268,49.4,0.1,50.6,0.1,5.9,0.1,15.7,0.1,9.3,0.1,13.3,0.1,12.2,0.1,13.2,0.1,13.4,0.1,9.6,0.1,7.4,0.1,39.9,0.2,610094,3595,51.8,0.3,48.2,0.3,2217387,4118,48.8,0.1,51.2,0.1,637208,2954,50.8,0.2,49.2,0.2,1098706,3063,49.5,0.1,50.5,0.1,481473,938,44.4,0.1,55.6,0.1,1955171,3524,11.4,0.3,31.7,0.5,31.4,0.5,16.9,0.4,8.6,0.3,88.6,0.3,88,0.4,89.2,0.4,25.5,0.4,25.4,0.6,25.6,0.6,638064,2954,1129241,5544,50830,423
40,Oklahoma,4,Black or African American alone,287254,4498,49.3,0.7,50.7,0.7,7.9,0.4,19.4,0.7,13.6,0.8,14.9,0.6,12.2,0.6,12.3,0.6,11.1,0.3,5.5,0.3,3.2,0.3,31,0.5,78254,2938,50.2,2,49.8,2,209000,2970,48.9,0.7,51.1,0.7,81860,2658,49.2,1.6,50.8,1.6,102205,2288,50.1,0.9,49.9,0.9,24935,1018,43.2,2.2,56.8,2.2,169984,2725,11.7,1,33,1.6,37.3,1.9,11.7,1.2,6.3,0.8,88.3,1,86.9,1.5,89.6,1.2,18,1.5,14.8,1.8,21.1,2,74784,1936,107734,2641,30003,1454
40,Oklahoma,6,"American Indian and Alaska Native alone (300, A01-Z99)",289732,5548,49,0.6,51,0.6,8,0.5,22.5,0.6,12.4,0.5,13.1,0.6,13.4,0.6,11.8,0.5,9.9,0.5,6,0.4,2.8,0.3,30.3,0.6,88574,2947,50.5,1.3,49.5,1.3,201158,3736,48.3,0.8,51.7,0.8,73981,2452,47,1.6,53,1.6,101681,2802,49.8,1.1,50.2,1.1,25496,1332,46.1,2.1,53.9,2.1,165263,3539,15.9,1.1,35.4,1.5,32.1,1.3,12.3,0.9,4.3,0.6,84.1,1.1,82.7,1.5,85.5,1.4,16.6,1.1,15.7,1.5,17.4,1.4,75549,2524,93130,2795,40013,1419
40,Oklahoma,12,Asian alone (400-499),76654,2858,47.2,1.3,52.8,1.3,7.1,1.1,14.4,1.4,13.9,1.7,19.3,1.6,15.6,1.4,12.3,1.1,9.1,0.9,5.3,0.9,2.9,0.8,32.3,0.7,16492,1489,50.4,4.7,49.6,4.7,60162,2097,46.3,1.3,53.7,1.3,25406,1636,48.1,2.8,51.9,2.8,28418,1298,46.3,1.8,53.7,1.8,6338,708,39.3,4.5,60.7,4.5,49519,1778,18.1,3.3,17.2,2.9,22.7,2.9,25.1,3.1,16.9,2.5,81.9,3.3,84.4,3.7,79.9,4.2,42,3.6,47.3,5.1,37.6,4.3,24074,1176,22782,1557,49612,3667
40,Oklahoma,70,Some other race alone,93987,5080,54.2,1.6,45.8,1.6,9.4,1,23.2,1.6,11.8,1.6,19.7,2.1,14.8,1.6,11.6,1.5,6.3,1.1,2.3,0.6,1.1,0.4,27.6,1.1,30672,2855,52.1,3,47.9,3,63315,3243,55.3,1.9,44.7,1.9,29531,2068,56.6,3.1,43.4,3.1,30607,2576,54,2.6,46,2.6,3177,635,55.6,11.7,44.4,11.7,52268,2981,48.7,3.3,26,2.5,18.7,2.6,4.3,1.1,2.3,1.2,51.3,3.3,49.9,4,52.9,4.5,6.6,1.7,5.9,2.2,7.4,2.6,23827,2051,26561,1691,37384,2169
41,Oregon,2,White alone,3358250,13638,49.4,0.1,50.6,0.1,5.3,0.1,14.6,0.1,8.6,0.1,13.3,0.1,12.8,0.1,13.1,0.1,14.7,0.1,10.4,0.1,7.3,0.1,41.5,0.2,667632,6389,51.5,0.4,48.5,0.4,2690618,8488,48.9,0.1,51.1,0.1,733871,4711,50.3,0.3,49.7,0.3,1362909,5500,49.6,0.1,50.4,0.1,593838,1592,45.3,0.1,54.7,0.1,2402219,7082,8.9,0.3,24.5,0.5,35.2,0.6,19.7,0.4,11.7,0.3,91.1,0.3,90.3,0.5,91.8,0.4,31.3,0.6,31.1,0.6,31.6,0.7,755380,4488,1358304,7548,51919,524
41,Oregon,4,Black or African American alone,71042,3386,55.1,2,44.9,2,6.3,1.3,19.9,2.3,12.7,1.9,15.6,2,14.5,1.8,11.5,1.5,10.7,1.2,6.1,1.2,2.5,0.6,31.6,2.4,18621,2394,51.5,4.8,48.5,4.8,52421,2121,56.3,2,43.7,2,20158,1803,61.4,3.9,38.6,3.9,26124,1656,55.2,3,44.8,3,6139,856,44.6,5.6,55.4,5.6,43368,2248,13.3,2.9,22.9,3.6,38.2,4.3,15.7,3.8,9.9,2.2,86.7,2.9,90.2,3.9,82.5,4.4,25.6,4.2,31,5.5,19.2,5.3,15978,1675,23615,1495,30892,4402
41,Oregon,12,Asian alone (400-499),159891,4298,45.1,1.1,54.9,1.1,4.7,0.6,15.4,1.1,12.3,1,15.3,0.9,17,0.8,14.7,0.9,11,0.7,5.6,0.5,4,0.4,36,0.9,32133,2815,49.7,3,50.3,3,127758,2673,44,1,56,1,44147,2272,46.2,2.1,53.8,2.1,68261,1983,42.7,1.1,57.3,1.1,15350,834,43.4,2.5,56.6,2.5,108047,2249,12.6,1.7,14.5,1.8,24.5,2.4,27.8,2.4,20.6,2.1,87.4,1.7,90.1,1.7,85.3,2.4,48.5,2.7,53,3.5,44.9,3.1,50616,2208,52198,2329,67748,6999
41,Oregon,70,Some other race alone,141502,12897,53.5,1.6,46.5,1.6,8.6,1.3,25.7,2.3,13.1,1.6,15.6,1.8,19.1,1.8,10.4,1.2,4.6,1,2.1,0.7,0.9,0.4,26.9,1.6,48438,6337,50,3.8,50,3.8,93064,8000,55.3,2.1,44.7,2.1,40540,4467,53.4,3.7,46.6,3.7,48281,4817,57,3.1,43,3.1,4243,1080,54.1,9,45.9,9,74540,6336,43.7,4.2,28.4,3.7,19.6,3,5.2,1.5,3.2,1,56.3,4.2,56.8,4.6,55.7,6.4,8.3,2,7,2.4,10,2.9,39159,4222,35586,3255,37623,3416
42,Pennsylvania,2,White alone,10408847,14006,49,0.1,51,0.1,5,0.1,14.4,0.1,9,0.1,12.2,0.1,11.6,0.1,14.5,0.1,14.8,0.1,9.9,0.1,8.6,0.1,43.4,0.1,2012606,6977,51.3,0.2,48.7,0.2,8396241,9676,48.4,0.1,51.6,0.1,2207044,5450,50.8,0.1,49.2,0.1,4262294,6300,49.5,0.1,50.5,0.1,1926903,2040,43.3,0.1,56.7,0.1,7464270,8493,9.2,0.2,36.9,0.3,23.9,0.2,18.4,0.2,11.6,0.2,90.8,0.2,90.3,0.2,91.3,0.2,30,0.3,30,0.4,30,0.3,2301247,5518,4186453,12799,56862,428
42,Pennsylvania,4,Black or African American alone,1416865,10987,48.2,0.3,51.8,0.3,6.9,0.2,19.2,0.3,12.3,0.2,14.5,0.3,12.5,0.2,13,0.2,11.1,0.2,6.1,0.1,4.4,0.1,32.8,0.3,369960,7328,51.2,0.8,48.8,0.8,1046905,5740,47.2,0.3,52.8,0.3,379908,4985,50.3,0.6,49.7,0.6,517871,3905,47.1,0.4,52.9,0.4,149126,1440,39.2,0.6,60.8,0.6,872803,5737,14.9,0.6,39.3,0.8,29.4,0.9,10,0.6,6.4,0.5,85.1,0.6,83.9,1,86.2,0.8,16.4,0.7,13.9,0.9,18.5,1,367674,4656,498715,7113,32271,779
42,Pennsylvania,12,Asian alone (400-499),399285,5091,47.9,0.5,52.1,0.5,6,0.3,16.2,0.5,11.9,0.4,18.9,0.6,16.5,0.5,12.7,0.5,9.4,0.3,5.5,0.3,2.9,0.3,33.5,0.4,88527,3044,49.2,1.5,50.8,1.5,310758,3579,47.6,0.4,52.4,0.4,123012,2323,48.1,0.9,51.9,0.9,154014,2428,47.9,0.6,52.1,0.6,33732,1415,44.2,1.6,55.8,1.6,263054,3407,18.9,1.5,13.9,1.2,14.1,1.2,24.9,1.5,28.1,1.5,81.1,1.5,83.6,1.7,78.8,1.7,53,1.9,55.7,2.3,50.6,2.4,122459,2222,122335,2993,64041,3835
42,Pennsylvania,70,Some other race alone,241491,15279,50.9,1.4,49.1,1.4,8.8,1.1,23,1.1,13.9,1.2,16.6,1.5,15.7,1.3,11,1.1,7,0.9,2.4,0.5,1.5,0.4,27.4,1,76828,6700,50.3,3.2,49.7,3.2,164663,10147,51.2,1.8,48.8,1.8,73847,6134,49.8,2.1,50.2,2.1,81379,5300,53.7,2.5,46.3,2.5,9437,1690,40.9,6.5,59.1,6.5,130985,8590,34.6,2.7,36.2,2.8,18.3,1.9,6.1,1.2,4.8,2,65.4,2.7,63,3.8,68.1,2.9,10.9,2.1,10.2,3.6,11.7,1.9,67867,4578,65000,4702,31952,2554
